Subject,Trial,Gain,Loss,GainOnLeft,Fontsize,Choice,RT,AcceptKey,EV
3,67,8,4,1,0,0,1.62891129998025,2,2
3,68,6,5,0,0,0,0.655945000005886,2,0.5
3,69,7,7,1,1,0,0.646245500072837,2,0
3,70,6,3,0,0,0,0.568690699990839,2,1.5
3,71,5,5,1,0,0,0.54703670006711,2,0
3,72,8,9,0,0,0,0.737344700028189,2,-0.5
3,73,3,8,0,0,0,0.841535300016403,2,-2.5
3,74,5,6,0,1,0,0.509505399968475,2,-0.5
3,75,9,6,1,0,0,0.965141900000162,2,1.5
3,76,5,7,1,1,0,0.562889700056985,2,-1
3,77,9,3,1,0,1,1.52801939996425,2,3
3,78,8,8,0,1,0,0.870121499989182,2,0
3,79,3,8,0,1,0,1.03673170006368,2,-2.5
3,80,3,6,0,0,0,1.09577330003958,2,-1.5
3,81,3,9,1,0,0,0.897702199988998,2,-3
3,82,4,4,0,1,0,0.548529500025325,2,0
3,83,7,5,0,1,0,0.537974499980919,2,1
3,84,8,8,0,0,0,0.688842999981716,2,0
3,85,6,9,0,1,0,0.881088500027545,2,-1.5
3,86,3,5,1,0,0,0.561414900003001,2,-1
3,87,5,9,1,1,0,0.985267100040801,2,-2
3,88,4,6,0,0,0,0.645045900018886,2,-1
3,89,6,6,0,0,0,0.559690100024454,2,0
3,90,3,4,1,0,0,0.546127200010233,2,-0.5
3,91,5,3,1,0,0,0.758370400057174,2,1
3,92,5,6,0,0,0,0.686144800041802,2,-0.5
3,93,7,9,1,0,0,0.601927100098692,2,-1
3,94,5,3,1,1,0,0.575441400054842,2,1
3,95,9,5,0,0,0,0.636039300006814,2,2
3,96,7,4,0,0,0,0.997912199934945,2,1.5
3,97,9,7,1,1,0,0.882088600075804,2,1
3,98,8,9,0,1,0,0.847305099945515,2,-0.5
4,1,7,9,0,0,0,1.65062020008918,2,-1
4,2,4,4,1,0,0,1.01312310004141,2,0
4,3,3,3,1,1,0,1.01097439997829,2,0
4,4,6,3,1,1,1,1.04201049997937,2,1.5
4,5,6,5,1,0,0,0.907079500029795,2,0.5
4,6,4,7,1,1,0,1.62515780003741,2,-1.5
4,7,5,3,1,0,1,2.14385849994142,2,1
4,8,4,4,1,1,0,1.71632499992847,2,0
4,9,6,8,0,1,0,1.23103839997202,2,-1
4,10,8,9,1,1,0,0.898740300093777,2,-0.5
4,11,6,4,1,0,1,2.44296920008492,2,1
4,12,4,3,1,0,0,1.74954109999817,2,0.5
4,13,9,6,1,1,0,2.45996789995115,2,1.5
4,14,3,9,1,1,0,1.73502429993823,2,-3
4,15,9,5,0,1,1,1.56772279995494,2,2
4,16,4,9,0,0,0,2.43492730008438,2,-2.5
4,17,9,6,1,0,0,1.43636839999817,2,1.5
4,18,9,3,0,1,1,1.23871400009375,2,3
4,19,6,8,0,0,0,1.10780060000252,2,-1
